LGA Code 2011,A10 Homicide and related offence,A20 Assault and related offences , A30 Sexual offences, A40 Abduction and related ofences , A50 Robbery,A60 Blackmail and extortion,"A70 Stalking, harassment and threatening behaviour",A80 Dangerous and negligent acts endangering people,Total offence count: (A),B10 Arson,B20 Property Damage,B30 Burglary/Break and enter,B40 Theft,B50 Deception,B60 Bribery,Total offence count: (B),C10 Drug dealing and trafficking,C20 Cultivate or manufacture drugs,C30 Drug use and possesion ,C90 Other drug offences,Total offence count: (C),D10 Weapons and explosives offence,D20 Disorderly and offensive conduct,D30 Public nuisance offences,D40 Public security offences,Total offence count: (D),E10 Justice procedures,E20 Breaches of orders,Total (E) Justice procedures offences,F10 Regulatory driving offences,F20 Transport regulation offences,F30 Other government regulatory off,F90 Miscellaneous offences,Total (F) Other offences,Grand Total Offences,LGA Estimated Residential Population,LGA Name,Reference Period,Victoria Estimated Residential Population
20110,0,37,20,1,1,0,11,9,79,4,57,35,114,19,0,229,3,6,18,0,27,17,47,13,0,77,5,23,28,0,1,0,2,3,443,12109,Alpine (S),2012,5632521
20110,3,39,13,0,0,0,14,11,77,3,63,42,109,8,0,225,3,8,25,0,36,42,64,2,0,108,6,31,37,0,0,1,3,4,487,12030,Alpine (S),2013,5733545
20110,3,46,38,0,0,0,11,3,98,7,46,24,211,29,0,317,3,4,32,0,39,41,44,5,0,90,9,22,31,1,0,2,14,17,592,12019,Alpine (S),2014,5838110
20110,0,47,26,1,0,0,4,17,95,6,52,28,108,25,0,219,7,9,30,0,46,37,58,6,0,101,6,37,43,0,2,4,2,8,512,11858,Alpine (S),2015,5937481
20110,0,55,29,0,0,0,17,4,105,2,41,34,97,14,0,188,10,3,23,1,37,31,42,3,0,76,2,45,47,0,1,2,0,3,456,11985,Alpine (S),2016,6053355
20260,0,162,45,2,1,0,36,17,263,18,192,76,275,16,0,577,7,1,30,0,38,34,106,37,0,177,34,50,84,0,0,4,10,14,1153,11335,Ararat (RC),2012,5632521
20260,3,179,39,1,1,0,31,19,270,23,202,78,208,23,0,534,210,3,50,0,263,35,114,16,0,165,55,86,141,0,0,10,1,11,1384,11214,Ararat (RC),2013,5733545
20260,3,203,57,0,0,0,28,28,316,16,147,64,178,25,0,430,1,1,32,0,34,45,108,10,0,163,49,112,161,0,1,6,1,8,1112,11139,Ararat (RC),2014,5838110
20260,0,200,59,0,0,0,43,21,323,20,172,66,178,52,0,488,29,3,66,0,98,30,114,15,0,159,42,127,169,0,0,3,5,8,1245,11028,Ararat (RC),2015,5937481
20260,3,256,42,1,2,0,41,21,363,14,145,68,184,52,0,463,15,4,122,1,142,48,89,16,0,153,84,196,280,0,0,0,4,4,1405,11299,Ararat (RC),2016,6053355
20570,3,1032,238,46,30,4,263,89,1702,106,1862,1166,3127,333,1,6595,43,19,162,1,225,162,355,43,3,563,143,546,689,0,1,15,6,22,9796,96935,Ballarat (C),2012,5632521
20570,5,893,269,15,35,0,234,94,1545,86,1541,1237,3313,489,0,6666,65,28,249,13,355,289,424,24,1,738,159,599,758,0,0,5,3,8,10070,98570,Ballarat (C),2013,5733545
20570,0,857,443,11,29,5,141,98,1584,52,1340,1061,3029,565,0,6047,65,21,408,0,494,340,469,44,0,853,118,1031,1149,1,1,7,3,12,10139,100240,Ballarat (C),2014,5838110
20570,3,837,531,14,25,7,149,87,1650,125,1338,1288,3694,479,0,6924,89,55,410,1,555,289,352,45,0,686,197,1278,1475,0,5,34,10,49,11339,101578,Ballarat (C),2015,5937481
20570,5,947,555,12,38,2,134,130,1823,168,1220,1269,4163,700,0,7520,57,48,400,2,507,350,284,41,1,676,435,1221,1656,1,8,20,3,32,12214,104344,Ballarat (C),2016,6053355
20660,3,656,150,15,59,2,252,70,1204,54,889,978,2169,262,0,4352,46,31,267,0,344,117,158,38,1,314,115,987,1102,0,10,9,6,25,7341,123600,Banyule (C),2012,5632521
20660,3,620,178,9,47,2,250,81,1187,45,839,953,3197,383,0,5417,34,12,252,0,298,167,273,43,2,485,142,1170,1312,2,2,4,5,13,8712,124350,Banyule (C),2013,5733545
20660,4,573,251,10,51,7,213,59,1168,35,795,1114,2748,444,0,5136,34,9,229,0,272,125,174,37,3,339,115,1484,1599,1,14,15,8,38,8552,125451,Banyule (C),2014,5838110
20660,0,658,237,14,30,0,227,55,1221,47,775,908,2860,472,0,5062,61,20,391,0,472,221,173,68,0,462,191,1771,1962,0,5,5,12,22,9201,126232,Banyule (C),2015,5937481
20660,3,711,169,12,35,7,224,71,1229,58,778,1149,3422,676,0,6083,90,29,342,0,461,199,160,55,2,416,212,1253,1465,1,5,4,3,13,9667,127430,Banyule (C),2016,6053355
20740,3,254,74,1,4,0,84,26,443,18,266,220,565,44,0,1113,25,11,82,0,118,33,156,9,0,198,21,105,126,0,3,23,5,31,2029,30616,Bass Coast (S),2012,5632521
20740,3,282,110,2,1,0,129,22,546,21,255,205,518,67,0,1066,20,18,106,0,144,60,141,22,0,223,19,162,181,0,2,10,2,14,2174,30975,Bass Coast (S),2013,5733545
20740,3,349,117,8,4,1,116,30,625,25,322,272,582,72,0,1273,29,21,100,0,150,80,175,21,0,276,49,265,314,0,0,1,2,3,2641,31610,Bass Coast (S),2014,5838110
20740,3,285,149,3,6,0,115,40,598,32,268,187,483,86,0,1056,28,18,164,0,210,74,119,23,0,216,38,379,417,1,6,5,6,18,2515,32033,Bass Coast (S),2015,5937481
20740,0,335,113,6,3,0,96,54,607,37,301,191,701,113,0,1343,20,9,95,0,124,88,99,25,0,212,101,454,555,0,6,4,0,10,2851,33581,Bass Coast (S),2016,6053355
20830,0,310,64,2,8,0,90,40,514,29,370,238,793,68,0,1498,19,6,95,0,120,76,151,7,0,234,47,98,145,0,3,2,1,6,2517,44296,Baw Baw (S),2012,5632521
